ICAO     STATION NAME      STATE               LOCATION              ELEV (m)    DATE/TIME (UTC) TEMP (F) TDEW (F)  RH (%) WSPD (kts) WDIR (deg)  VIS (m) PRES (mb)      CLOUD      PRESENT WX                         PRECIP (mm)
KALX     Alexander/Russel  US: Alabama         32.92N  85.80W              210    2/15/2009 19:40     62.6     42.8      48          4        280    16000     1016.3      CLR
K3A1     Cullman/Folsom F  US: Alabama         34.27N  86.85W              290    2/15/2009 19:40     55.4     35.6      47          6        310    16000     1019.0      CLR
K4A9     Ft Payne/Isbell   US: Alabama         34.47N  85.72W              270    2/15/2009 19:40     59.0     37.4      44          0          0    16000     1016.3      BKN
KMDQ     Huntsville/Madis  US: Alabama         34.87N  86.55W              230    2/15/2009 19:40     51.8     33.8      50         11        340    16000     1019.0      BKN
K79J     Andalusia/Opp Ar  US: Alabama         31.32N  86.40W               94    2/15/2009 19:42     60.1     54.0      80          4        130    11000     1016.3      BKN                 Hourly Precipitation Amount: 0.3 mm
KEET     Alabaster         US: Alabama         33.18N  86.78W              170    2/15/2009 19:53     61.0     37.9      42          7        300    16000     1017.3      CLR
KANB     Anniston          US: Alabama         33.58N  85.85W              180    2/15/2009 19:53     61.0     33.1      35          5        270    16000     1016.6      FEW
KBHM     Birmingham        US: Alabama         33.57N  86.75W              200    2/15/2009 19:53     60.1     30.9      33          8        270    16000     1017.9      CLR
KDCU     Decatur           US: Alabama         34.65N  86.95W              180    2/15/2009 19:53     52.0     35.1      52          9        260    16000     1019.3      BKN
KDHN     Dothan            US: Alabama         31.32N  85.45W              110    2/15/2009 19:53     59.0     51.1      75          0          0    14000     1017.3      SCT      Light Rain  Hourly Precipitation Amount: trace
KGZH     Evergreen         US: Alabama         31.42N  87.05W               78    2/15/2009 19:53     59.0     55.0      87          4        330    16000     1016.9      OVC
KHSV     Huntsville        US: Alabama         34.65N  86.78W              190    2/15/2009 19:53     54.0     34.0      47          7        320    16000     1018.6      SCT
KBFM     Mobile/Brookely   US: Alabama         30.62N  88.07W               20    2/15/2009 19:53     62.1     54.0      75          3          0    16000     1016.9      CLR                  Hourly Precipitation Amount: trace
KMGM     Montgomery        US: Alabama         32.30N  86.40W               63    2/15/2009 19:53     63.0     46.9      56          5          0    16000     1016.9      CLR
KMSL     Muscle Shoal      US: Alabama         34.75N  87.60W              160    2/15/2009 19:53     55.9     27.0      33          9        330    16000     1020.0      SCT
